訂單編號,產品系列,數量,預估交期
C3103010,Unknown,15.0,2019-01-03
C3103011,Unknown,30.0,2019-01-03
B0107209,USB3.0,1.0,2019-01-04
B0107078,USB3.0,8.0,2019-01-04
B0107170,USB3.0,50.0,2019-01-04
A0202589,Unknown,5000.0,2019-01-04
A0202649,Unknown,5000.0,2019-01-04
B0602182,Unknown,660.0,2019-01-04
A0202698,Unknown,3000.0,2019-01-04
A0203065,Unknown,1000.0,2019-01-04
B0603105,Unknown,1000.0,2019-01-04
B0107242,GIGE,50.0,2019-01-07
B0106773,GIGE,500.0,2019-01-07
B0107285,USB3.0,20.0,2019-01-07
B0107137,USB3.0,120.0,2019-01-07
B0106748,其他,100.0,2019-01-07
B0106869,其他,2.0,2019-01-07
B0107052,Unknown,2.0,2019-01-07
B0107405,Unknown,1000.0,2019-01-07
A0202525,Unknown,50400.0,2019-01-07
B0107008,Unknown,500.0,2019-01-07
B0107308,Unknown,200.0,2019-01-07
B0107078,USB3.0,30.0,2019-01-08
B0107170,USB3.0,130.0,2019-01-08
B0107209,USB3.0,20.0,2019-01-08
B0106944,其他,130.0,2019-01-08
B0107423,Unknown,72.0,2019-01-08
A0202792,Unknown,1100.0,2019-01-09
B0201211,USB2.0(TYPE C),100.0,2019-01-10
B0202009,USB2.0(TYPE C),100.0,2019-01-10
B0201207,USB2.0(TYPE C),100.0,2019-01-10
A0202589,Unknown,5000.0,2019-01-10
A0202677,Unknown,6500.0,2019-01-10
A0202597,Unknown,4000.0,2019-01-10
A0202525,Unknown,35280.0,2019-01-10
A0202580,Unknown,2000.0,2019-01-10
C2001605,Unknown,1000.0,2019-01-10
B0106746,GIGE,700.0,2019-01-11
B0106773,GIGE,700.0,2019-01-11
B0106863,USB3.0,8.0,2019-01-11
B0107439,USB3.0,44.0,2019-01-11
B0106890,其他,15.0,2019-01-11
T3190001,Unknown,20.0,2019-01-11
SNQ190005,Unknown,60.0,2019-01-11
A0203006,Unknown,2150.0,2019-01-14
B0106774,GIGE,8.0,2019-01-15
B0107048,USB3.0,10.0,2019-01-15
B0107184,USB3.0,30.0,2019-01-15
B0106383,USB2.0,2000.0,2019-01-16
B0105990,USB2.0,60000.0,2019-01-16
B0106285,其他,88.0,2019-01-16
B0106169,其他,2727.0,2019-01-16
B0105934,其他,16000.0,2019-01-16
B0105992,其他,50000.0,2019-01-16
B0106054,其他,9000.0,2019-01-16
B0105951,其他,9000.0,2019-01-16
B0101957,其他,17500.0,2019-01-16
B0106297,其他,28570.0,2019-01-16
B0107173,其他,10000.0,2019-01-16
B0106773,GIGE,590.0,2019-01-17
B0106746,GIGE,1000.0,2019-01-17
B0107375,USB3.0,800.0,2019-01-17
B0602206,其他,1002.0,2019-01-17
A0202729,Unknown,5000.0,2019-01-17
A0202430,Unknown,1040.0,2019-01-17
A0202586,Unknown,10080.0,2019-01-17
C1805054,Unknown,3000.0,2019-01-17
A0202525,Unknown,53760.0,2019-01-17
A0202550,Unknown,1000.0,2019-01-18
A0202595,Unknown,3000.0,2019-01-18
A0501629,Unknown,2919.0,2019-01-18
A0202397,Unknown,1000.0,2019-01-18
A0202456,Unknown,2000.0,2019-01-18
A0202501,Unknown,1000.0,2019-01-18
A0202747,Unknown,2000.0,2019-01-18
A0202491,Unknown,1000.0,2019-01-18
A0202599,Unknown,6048.0,2019-01-18
A0202589,Unknown,5000.0,2019-01-21
C1804137,Unknown,150000.0,2019-01-21
C1502054,Unknown,100800.0,2019-01-21
B0106773,GIGE,410.0,2019-01-22
B0107314,USB3.0,2.0,2019-01-22
B0106750,其他,396.0,2019-01-22
C1801103,Unknown,20000.0,2019-01-22
T1190006,Unknown,11.0,2019-01-22
C1803128,Unknown,15000.0,2019-01-22
T1190005,Unknown,10.0,2019-01-22
B0107025,Unknown,10.0,2019-01-22
C2401006,Unknown,2000.0,2019-01-22
A0202431,Unknown,5000.0,2019-01-22
T1190007,Unknown,1.0,2019-01-22
A0202435,Unknown,5000.0,2019-01-22
A0202467,Unknown,2000.0,2019-01-22
C1805042,Unknown,20000.0,2019-01-22
C2402113,Unknown,25650.0,2019-01-22
HQF001,Unknown,2.0,2019-01-23
SNQ9983,Unknown,2.0,2019-01-23
B0106455,GIGE,2.0,2019-01-24
B0102359,USB3.0,13000.0,2019-01-24
B0107198,USB3.0,300.0,2019-01-24
B0106779,USB3.0,5000.0,2019-01-24
B0106865,USB3.0,2000.0,2019-01-24
B0106769,USB3.0,3000.0,2019-01-24
B0201201,USB3.0(TYPE C),2000.0,2019-01-24
B0201200,USB3.0(TYPE C),2000.0,2019-01-24
B0106896,其他,2000.0,2019-01-24
C1804127,Unknown,50000.0,2019-01-24
C1502056,Unknown,3100.0,2019-01-24
B0301141,Unknown,20.0,2019-01-24
A0202586,Unknown,10080.0,2019-01-24
C0104276,Unknown,6000.0,2019-01-24
B0107413,GIGE,210.0,2019-01-25
B0106747,GIGE,70.0,2019-01-25
B0107074,GIGE,9.0,2019-01-25
B0106798,USB2.0,20000.0,2019-01-25
B0106797,USB2.0,20000.0,2019-01-25
B0105990,USB2.0,36000.0,2019-01-25
B0105989,USB2.0,7000.0,2019-01-25
B0106378,USB2.0,15000.0,2019-01-25
B0106694,USB2.0,500.0,2019-01-25
B0201220,USB2.0(TYPE C),200.0,2019-01-25
B0106923,USB3.0,1.0,2019-01-25
B0105934,其他,19000.0,2019-01-25
B0103001,其他,500.0,2019-01-25
B0106869,其他,30.0,2019-01-25
B0106285,其他,40.0,2019-01-25
B0101939,其他,20900.0,2019-01-25
B0106297,其他,20000.0,2019-01-25
B0301041,其他,1900.0,2019-01-25
B0105462,其他,50.0,2019-01-25
B0105951,其他,7000.0,2019-01-25
B0105992,其他,50000.0,2019-01-25
B0105992,其他,500.0,2019-01-25
B0106054,其他,6000.0,2019-01-25
A0202648,Unknown,5000.0,2019-01-25
A0202397,Unknown,2000.0,2019-01-25
C2901021,Unknown,2000.0,2019-01-25
C2001623,Unknown,7000.0,2019-01-25
C1805050,Unknown,5000.0,2019-01-25
C2001643,Unknown,3789.0,2019-01-25
A0202491,Unknown,1000.0,2019-01-25
C1804102,Unknown,5000.0,2019-01-25
A0202728,Unknown,10000.0,2019-01-25
A0202764,Unknown,5000.0,2019-01-25
A0202649,Unknown,5000.0,2019-01-25
B0301125,Unknown,2000.0,2019-01-25
A0202587,Unknown,21000.0,2019-01-25
C1803087,Unknown,1500.0,2019-01-25
C3001018,Unknown,30.0,2019-01-25
A0202638,Unknown,5200.0,2019-01-25
C1805054,Unknown,2000.0,2019-01-25
B0106872,Unknown,2.0,2019-01-25
A0202589,Unknown,10000.0,2019-01-25
C3003007,Unknown,2000.0,2019-01-25
A0202473,Unknown,10000.0,2019-01-25
A0202501,Unknown,1000.0,2019-01-25
A0202793,Unknown,300.0,2019-01-25
C1804134,Unknown,5000.0,2019-01-25
B0107380,USB2.0,500.0,2019-01-28
B0201219,USB3.0(TYPE C),300.0,2019-01-28
B0201218,USB3.0(TYPE C),500.0,2019-01-28
B0201216,USB3.0(TYPE C),300.0,2019-01-28
B0201217,USB3.0(TYPE C),1000.0,2019-01-28
B0106869,其他,8.0,2019-01-28
B0201215,USB2.0(TYPE C),130.0,2019-01-29
B0106188,USB3.0,100.0,2019-01-29
B0106652,USB3.0,100.0,2019-01-29
B0105118,其他,500.0,2019-01-29
B0106169,其他,2158.0,2019-01-29
B0106164,其他,600.0,2019-01-29
B0105386,其他,1500.0,2019-01-29
T1190021,Unknown,2.0,2019-01-29
B0106961,GIGE,75.0,2019-01-30
B0106959,GIGE,50.0,2019-01-30
B0106455,GIGE,26.0,2019-01-30
B0106960,GIGE,150.0,2019-01-30
B0107420,USB3.0,50.0,2019-01-30
B0201217,USB3.0(TYPE C),30.0,2019-01-30
B0107171,其他,80.0,2019-01-30
B0604091,Unknown,600.0,2019-01-30
HQF001,Unknown,1.0,2019-01-30
A0520044,Unknown,200.0,2019-01-30
B0106774,GIGE,42.0,2019-01-31
B0107074,GIGE,10.0,2019-01-31
B0107040,USB3.0,200.0,2019-01-31
B0106845,USB3.0,100.0,2019-01-31
B0107031,USB3.0,100.0,2019-01-31
B0106973,USB3.0,100.0,2019-01-31
B0106932,USB3.0,30.0,2019-01-31
B0107298,USB3.0,210.0,2019-01-31
B0106847,USB3.0,200.0,2019-01-31
B0106943,USB3.0,100.0,2019-01-31
B0107203,USB3.0,100.0,2019-01-31
B0107177,USB3.0,500.0,2019-01-31
B0201187,USB3.0(主動線),90.0,2019-01-31
B0106869,其他,32.0,2019-01-31
B0107353,Unknown,5.0,2019-01-31
T1190012,Unknown,4.0,2019-01-31
SNQ998002,Unknown,15.0,2019-01-31
B0107302,Unknown,5.0,2019-01-31
B0107318,Unknown,10.0,2019-01-31
T1190019,Unknown,20.0,2019-01-31
B0107046,Unknown,10.0,2019-01-31
T1190008,Unknown,2.0,2019-01-31
B0107024,Unknown,15.0,2019-01-31
B0107026,Unknown,5.0,2019-01-31
SNQ998001,Unknown,15.0,2019-01-31
T1190017,Unknown,8.0,2019-01-31
T1190022,Unknown,2.0,2019-02-01
B0106456,GIGE,16.0,2019-02-11
B0107078,USB3.0,8.0,2019-02-11
B0106827,USB3.0,6.0,2019-02-11
B0107078,USB3.0,3.0,2019-02-11
B0106890,其他,15.0,2019-02-11
A0202747,Unknown,1000.0,2019-02-12
A0202505,Unknown,2000.0,2019-02-12
A0202583,Unknown,5000.0,2019-02-12
A0202677,Unknown,9300.0,2019-02-12
A0202728,Unknown,10000.0,2019-02-12
A0202511,Unknown,1000.0,2019-02-12
B0107078,USB3.0,145.0,2019-02-13
C1805042,Unknown,10000.0,2019-02-15
B0106732,GIGE,11.0,2019-02-19
B0106263,GIGE,36.0,2019-02-19
B0106923,USB3.0,2.0,2019-02-19
B0107170,USB3.0,1.0,2019-02-19
B0107210,USB3.0,2.0,2019-02-19
B0107314,USB3.0,5.0,2019-02-19
B0106944,其他,2.0,2019-02-19
B0106236,Unknown,24.0,2019-02-19
T1190018,Unknown,6.0,2019-02-19
C2801007,Unknown,500.0,2019-02-19
C2402072,Unknown,1100.0,2019-02-19
B0106455,GIGE,18.0,2019-02-20
B0201200,USB3.0(TYPE C),1000.0,2019-02-20
B0201201,USB3.0(TYPE C),1000.0,2019-02-20
B0602206,其他,8282.0,2019-02-20
B0106742,GIGE,15.0,2019-02-21
B0107278,USB2.0,15.0,2019-02-21
B0107209,USB3.0,15.0,2019-02-21
B0107277,USB3.0,30.0,2019-02-21
B0107420,USB3.0,50.0,2019-02-21
B0106863,USB3.0,10.0,2019-02-21
B0107276,USB3.0,15.0,2019-02-21
B0301141,Unknown,20.0,2019-02-21
T1190020,Unknown,4.0,2019-02-21
A0202669,Unknown,1000.0,2019-02-21
A0202589,Unknown,10000.0,2019-02-21
B0107158,Unknown,1.0,2019-02-21
A0202698,Unknown,7000.0,2019-02-21
A0202597,Unknown,5000.0,2019-02-21
A0202429,Unknown,10000.0,2019-02-21
C1805054,Unknown,3325.0,2019-02-23
T2190004,Unknown,200.0,2019-02-25
T2190003,Unknown,200.0,2019-02-25
B0107078,USB3.0,30.0,2019-02-26
B0107209,USB3.0,30.0,2019-02-26
C1801103,Unknown,35000.0,2019-02-26
C1804102,Unknown,5000.0,2019-02-26
C2402031,Unknown,5000.0,2019-02-26
A0202638,Unknown,5200.0,2019-02-26
C1803087,Unknown,3348.0,2019-02-26
A0202467,Unknown,1000.0,2019-02-26
MAC00001,Unknown,1.0,2019-02-26
A0202545,Unknown,200.0,2019-02-26
A0202505,Unknown,1000.0,2019-02-27
A0202589,Unknown,10000.0,2019-02-27
A0202726,Unknown,1000.0,2019-02-27
A0202501,Unknown,5000.0,2019-02-27
A0202551,Unknown,2000.0,2019-02-27
A0202721,Unknown,1000.0,2019-02-27
C2001623,Unknown,6000.0,2019-02-27
A0202725,Unknown,1000.0,2019-02-27
A0202723,Unknown,1000.0,2019-02-27
A0202456,Unknown,3000.0,2019-02-27
A0202491,Unknown,1000.0,2019-02-27
A0202550,Unknown,5000.0,2019-02-27
MAC00001,Unknown,11.0,2019-02-27
A0202720,Unknown,1000.0,2019-02-27
A0202722,Unknown,1000.0,2019-02-27
A0202724,Unknown,1000.0,2019-02-27
B0106746,GIGE,97.0,2019-02-28
B0107074,GIGE,1.0,2019-02-28
B0107413,GIGE,190.0,2019-02-28
B0106747,GIGE,50.0,2019-02-28
B0106742,GIGE,143.0,2019-02-28
B0106355,USB2.0,3000.0,2019-02-28
B0106383,USB2.0,2000.0,2019-02-28
B0106378,USB2.0,6000.0,2019-02-28
B0106798,USB2.0,10000.0,2019-02-28
B0105990,USB2.0,30000.0,2019-02-28
B0106797,USB2.0,20000.0,2019-02-28
B0201215,USB2.0(TYPE C),1070.0,2019-02-28
B0201147,USB2.0(TYPE C),500.0,2019-02-28
B0201190,USB2.0(TYPE C),300.0,2019-02-28
B0107375,USB3.0,68.0,2019-02-28
B0107048,USB3.0,20.0,2019-02-28
B0107185,USB3.0,10.0,2019-02-28
B0107064,USB3.0,100.0,2019-02-28
B0107040,USB3.0,100.0,2019-02-28
B0107031,USB3.0,100.0,2019-02-28
B0107164,USB3.0,300.0,2019-02-28
B0107177,USB3.0,500.0,2019-02-28
B0107203,USB3.0,100.0,2019-02-28
B0107032,USB3.0,100.0,2019-02-28
B0201187,USB3.0(主動線),50.0,2019-02-28
B0602206,其他,9336.0,2019-02-28
B0106869,其他,98.0,2019-02-28
B0106896,其他,1000.0,2019-02-28
B0105483,其他,250.0,2019-02-28
B0101957,其他,27500.0,2019-02-28
B0105992,其他,30000.0,2019-02-28
B0106054,其他,6000.0,2019-02-28
B0106750,其他,96.0,2019-02-28
B0301138,其他,100.0,2019-02-28
B0102362,其他,5000.0,2019-02-28
B0106169,其他,2674.0,2019-02-28
B0301095,其他,1000.0,2019-02-28
B0106941,其他,21.0,2019-02-28
B0105934,其他,24000.0,2019-02-28
B0105138,其他,1000.0,2019-02-28
B0301041,其他,1000.0,2019-02-28
B0106297,其他,38973.0,2019-02-28
B0107173,其他,10000.0,2019-02-28
B0107174,其他,10000.0,2019-02-28
B0106855,Unknown,6.0,2019-02-28
C2902007,Unknown,200.0,2019-02-28
B0107052,Unknown,2.0,2019-02-28
C2901006,Unknown,600.0,2019-02-28
C2402072,Unknown,200.0,2019-02-28
B0107042,Unknown,10.0,2019-02-28
C1805059,Unknown,20000.0,2019-02-28
C2402050,Unknown,100.0,2019-02-28
T1190034,Unknown,8.0,2019-02-28
FFS00001,Unknown,1.0,2019-02-28
C2901017,Unknown,2000.0,2019-02-28
C3204001,Unknown,10000.0,2019-02-28
C1502054,Unknown,50400.0,2019-02-28
C1804127,Unknown,100000.0,2019-02-28
C2402088,Unknown,3000.0,2019-02-28
C3003013,Unknown,600.0,2019-02-28
HQPF01,Unknown,1.0,2019-02-28
T1190033,Unknown,25.0,2019-03-01
C1805035,Unknown,5393.0,2019-03-01
B0201221,USB3.0(主動線),15.0,2019-03-04
B0201222,USB3.0(主動線),10.0,2019-03-04
B0107418,Unknown,5000.0,2019-03-04
T1190041,Unknown,6.0,2019-03-04
T1190047,Unknown,6.0,2019-03-04
T1190045,Unknown,1.0,2019-03-04
T1190043,Unknown,6.0,2019-03-04
T1190042,Unknown,6.0,2019-03-04
C1805042,Unknown,4000.0,2019-03-05
B0106656,GIGE,4.0,2019-03-06
B0106455,GIGE,9.0,2019-03-06
B0107450,USB2.0,10.0,2019-03-06
B0107451,USB3.0,10.0,2019-03-06
B0107171,其他,160.0,2019-03-06
T1190048,Unknown,10.0,2019-03-06
B0106734,Unknown,1.0,2019-03-06
A0202677,Unknown,5000.0,2019-03-06
T1190049,Unknown,10.0,2019-03-06
C2402072,Unknown,1000.0,2019-03-06
A0202580,Unknown,2000.0,2019-03-06
C1805047,Unknown,4993.0,2019-03-06
T1190035,Unknown,1.0,2019-03-06
B0106773,GIGE,60.0,2019-03-07
B0106890,其他,3.0,2019-03-07
B0106732,GIGE,5.0,2019-03-08
B0106742,GIGE,5.0,2019-03-08
B0107461,GIGE,200.0,2019-03-08
B0107073,GIGE,2.0,2019-03-08
B0106986,USB3.0,7.0,2019-03-08
B0106863,USB3.0,20.0,2019-03-08
B0107375,USB3.0,732.0,2019-03-08
B0106862,USB3.0,393.0,2019-03-08
B0201213,USB3.0(TYPE C),20.0,2019-03-08
B0106869,其他,3.0,2019-03-08
B0106854,其他,100.0,2019-03-08
T1190023,Unknown,4.0,2019-03-08
C2402072,Unknown,1000.0,2019-03-08
T1190024,Unknown,4.0,2019-03-08
T1190055,Unknown,2.0,2019-03-08
B0107347,其他,1920.0,2019-03-12
B0107418,Unknown,7000.0,2019-03-12
A0202753,Unknown,1000.0,2019-03-12
A0202754,Unknown,300.0,2019-03-12
C3301001,Unknown,1000.0,2019-03-12
C2402113,Unknown,18900.0,2019-03-13
C1803128,Unknown,28000.0,2019-03-13
T1190040,Unknown,10.0,2019-03-13
T1190013,Unknown,16.0,2019-03-13
C1805042,Unknown,36000.0,2019-03-13
C2401006,Unknown,3000.0,2019-03-13
C2402088,Unknown,300.0,2019-03-13
B0106455,GIGE,10.0,2019-03-14
B0106456,GIGE,9.0,2019-03-14
B0106656,GIGE,1.0,2019-03-14
B0107130,USB2.0,3000.0,2019-03-14
B0106862,USB3.0,16.0,2019-03-14
B0107209,USB3.0,10.0,2019-03-14
B0107164,USB3.0,400.0,2019-03-14
B0201125,USB3.0(主動線),3.0,2019-03-14
B0105992,其他,1000.0,2019-03-14
B0106238,其他,100.0,2019-03-14
B0105501,其他,150.0,2019-03-14
B0106064,其他,100.0,2019-03-14
B0106896,其他,1500.0,2019-03-14
B0106179,其他,25.0,2019-03-14
B0105118,其他,997.0,2019-03-14
B0602206,其他,7110.0,2019-03-14
B0106775,其他,25.0,2019-03-14
B0302001,其他,1000.0,2019-03-14
C0104276,Unknown,1000.0,2019-03-14
B0201128,Unknown,3.0,2019-03-14
E19G1001,Unknown,1.0,2019-03-14
A0202491,Unknown,1000.0,2019-03-14
T1190057,Unknown,2.0,2019-03-14
A0202597,Unknown,5000.0,2019-03-14
T1190051,Unknown,1.0,2019-03-14
A0202581,Unknown,1000.0,2019-03-14
A0202762,Unknown,200.0,2019-03-14
C3103010,Unknown,5.0,2019-03-14
T1190058,Unknown,1.0,2019-03-14
T1190052,Unknown,4.0,2019-03-14
B0107474,Unknown,8.0,2019-03-14
A0202677,Unknown,5000.0,2019-03-14
A0202397,Unknown,1000.0,2019-03-14
C1502053,Unknown,100.0,2019-03-14
B0106383,USB2.0,2000.0,2019-03-15
B0105989,USB2.0,16000.0,2019-03-15
B0106797,USB2.0,10000.0,2019-03-15
B0106798,USB2.0,10000.0,2019-03-15
B0105990,USB2.0,36000.0,2019-03-15
B0106297,其他,16680.0,2019-03-15
B0201059,其他,500.0,2019-03-15
B0106169,其他,3509.0,2019-03-15
B0106164,其他,400.0,2019-03-15
B0106054,其他,3000.0,2019-03-15
B0101939,其他,4600.0,2019-03-15
B0105340,其他,2800.0,2019-03-15
B0105934,其他,22000.0,2019-03-15
B0105992,其他,50000.0,2019-03-15
B0105951,其他,16200.0,2019-03-15
B0301041,其他,2300.0,2019-03-15
C1502054,Unknown,100800.0,2019-03-15
T1190014,Unknown,20.0,2019-03-15
C3003007,Unknown,1500.0,2019-03-15
T1190016,Unknown,20.0,2019-03-15
C2901017,Unknown,1500.0,2019-03-15
C3204001,Unknown,15000.0,2019-03-15
C1805059,Unknown,20000.0,2019-03-15
C1804137,Unknown,150000.0,2019-03-15
C0104276,Unknown,6000.0,2019-03-15
C2801007,Unknown,500.0,2019-03-15
A0202383,Unknown,1000.0,2019-03-15
B0106746,GIGE,500.0,2019-03-18
B0106742,GIGE,50.0,2019-03-18
B0106862,USB3.0,697.0,2019-03-18
B0107323,USB3.0,550.0,2019-03-18
B0107439,USB3.0,462.0,2019-03-18
B0107262,USB3.0,300.0,2019-03-18
B0107375,USB3.0,434.0,2019-03-18
B0106771,USB3.0,1500.0,2019-03-18
B0107082,USB3.0,50.0,2019-03-18
B0104163,其他,1520.0,2019-03-18
B0107347,其他,1280.0,2019-03-18
D19G3003,Unknown,1.0,2019-03-18
T1190069,Unknown,5.0,2019-03-18
T1190070,Unknown,5.0,2019-03-18
T1190054,Unknown,2.0,2019-03-18
T1190053,Unknown,1.0,2019-03-18
C3001012,Unknown,5000.0,2019-03-18
B0201213,USB3.0(TYPE C),20.0,2019-03-19
B0602206,其他,7110.0,2019-03-19
T1190071,Unknown,5.0,2019-03-19
C3003009,Unknown,5000.0,2019-03-19
T1190072,Unknown,5.0,2019-03-19
HQT001,Unknown,1.0,2019-03-20
B0602182,Unknown,240.0,2019-03-20
T1190088,Unknown,1.0,2019-03-20
A0202668,Unknown,1000.0,2019-03-21
A0202583,Unknown,5000.0,2019-03-21
A0202587,Unknown,5000.0,2019-03-21
A0202505,Unknown,5000.0,2019-03-21
B0106746,GIGE,1000.0,2019-03-22
B0107241,GIGE,12.0,2019-03-22
B0106742,GIGE,45.0,2019-03-22
B0106774,GIGE,9.0,2019-03-22
B0106773,GIGE,1040.0,2019-03-22
B0107074,GIGE,8.0,2019-03-22
B0107420,USB3.0,150.0,2019-03-22
B0107262,USB3.0,204.0,2019-03-22
B0107314,USB3.0,10.0,2019-03-22
B0106863,USB3.0,21.0,2019-03-22
B0106869,其他,5.0,2019-03-22
B0106750,其他,150.0,2019-03-22
T1190068,Unknown,8.0,2019-03-22
B0106840,Unknown,5.0,2019-03-22
C2402072,Unknown,3000.0,2019-03-22
T1190066,Unknown,11.0,2019-03-22
D19G2001,Unknown,1.0,2019-03-22
B0107159,Unknown,1.0,2019-03-22
D19G2002,Unknown,1.0,2019-03-22
B0106849,Unknown,1.0,2019-03-23
B0107380,USB2.0,1008.0,2019-03-25
B0106850,USB3.0,2.0,2019-03-25
C1803128,Unknown,2000.0,2019-03-25
C1801164,Unknown,40000.0,2019-03-25
C2402113,Unknown,28350.0,2019-03-25
A0202699,Unknown,3000.0,2019-03-25
A0202431,Unknown,5000.0,2019-03-25
C1804095,Unknown,12000.0,2019-03-25
B0107426,GIGE,100.0,2019-03-26
B0107425,GIGE,100.0,2019-03-26
B0107376,USB2.0,2.0,2019-03-26
C1805047,Unknown,1165.0,2019-03-26
C1804097,Unknown,13000.0,2019-03-26
T1190112,Unknown,3.0,2019-03-26
A0202763,Unknown,1000.0,2019-03-26
A0202528,Unknown,1000.0,2019-03-26
C3301004,Unknown,4000.0,2019-03-26
C1804102,Unknown,5000.0,2019-03-26
C1803087,Unknown,152.0,2019-03-26
A0202551,Unknown,1000.0,2019-03-26
B0106742,GIGE,12.0,2019-03-27
B0105990,USB2.0,50000.0,2019-03-27
B0106798,USB2.0,10000.0,2019-03-27
B0105989,USB2.0,23000.0,2019-03-27
B0106797,USB2.0,20000.0,2019-03-27
B0106378,USB2.0,40000.0,2019-03-27
B0107342,USB3.0,1620.0,2019-03-27
B0106862,USB3.0,200.0,2019-03-27
B0106164,其他,100.0,2019-03-27
B0105951,其他,9800.0,2019-03-27
B0106297,其他,9336.0,2019-03-27
B0101957,其他,9000.0,2019-03-27
B0105934,其他,17000.0,2019-03-27
B0105992,其他,45000.0,2019-03-27
B0107384,其他,500.0,2019-03-27
B0201059,其他,1800.0,2019-03-27
T2190005,Unknown,50.0,2019-03-27
T1190101,Unknown,5.0,2019-03-27
A0202648,Unknown,5000.0,2019-03-27
A0202429,Unknown,5000.0,2019-03-27
C2402072,Unknown,488.0,2019-03-27
A0202580,Unknown,4000.0,2019-03-27
C1502064,Unknown,5000.0,2019-03-27
B0106742,GIGE,29.0,2019-03-28
B0107469,USB2.0,100.0,2019-03-28
B0107439,USB3.0,174.0,2019-03-28
B0107184,USB3.0,50.0,2019-03-28
B0107177,USB3.0,500.0,2019-03-28
B0107209,USB3.0,200.0,2019-03-28
B0107272,USB3.0,300.0,2019-03-28
B0106877,USB3.0,300.0,2019-03-28
B0107473,USB3.0,200.0,2019-03-28
B0107198,USB3.0,500.0,2019-03-28
B0107032,USB3.0,100.0,2019-03-28
B0106943,USB3.0,100.0,2019-03-28
B0107472,USB3.0,1000.0,2019-03-28
B0107224,USB3.0,100.0,2019-03-28
B0105497,其他,100.0,2019-03-28
B0105823,其他,50.0,2019-03-28
B0106854,其他,21.0,2019-03-28
B0101939,其他,20000.0,2019-03-28
B0105461,其他,50.0,2019-03-28
C1805050,Unknown,4966.0,2019-03-28
C2001623,Unknown,10000.0,2019-03-28
C1401020,Unknown,100.0,2019-03-28
C2001691,Unknown,8000.0,2019-03-28
C2401032,Unknown,1000.0,2019-03-28
B0106742,GIGE,48.0,2019-03-29
B0107489,GIGE,5.0,2019-03-29
B0106746,GIGE,41.0,2019-03-29
B0107273,USB2.0,20000.0,2019-03-29
B0107380,USB2.0,500.0,2019-03-29
B0107375,USB3.0,500.0,2019-03-29
B0106847,USB3.0,100.0,2019-03-29
B0106862,USB3.0,30.0,2019-03-29
B0107314,USB3.0,5.0,2019-03-29
B0107240,USB3.0,200.0,2019-03-29
B0107082,USB3.0,100.0,2019-03-29
B0106054,其他,1000.0,2019-03-29
B0602206,其他,1174.0,2019-03-29
B0107347,其他,3000.0,2019-03-29
B0105992,其他,4000.0,2019-03-29
B0106869,其他,100.0,2019-03-29
T1190105,Unknown,2.0,2019-03-29
RTF00001,Unknown,2.0,2019-03-29
T1190106,Unknown,2.0,2019-03-29
T1190061,Unknown,2.0,2019-03-29
B0107405,Unknown,300.0,2019-03-29
C0104276,Unknown,2000.0,2019-03-29
T1190104,Unknown,2.0,2019-03-29
T1190103,Unknown,2.0,2019-03-29
T1190059,Unknown,1.0,2019-03-29
T1190060,Unknown,1.0,2019-03-29
B0107008,Unknown,1000.0,2019-03-29
B0106629,USB2.0,2000.0,2019-04-01
B0107171,其他,324.0,2019-04-01
T1190084,Unknown,5.0,2019-04-01
T1190076,Unknown,5.0,2019-04-01
T1190080,Unknown,5.0,2019-04-01
T1190085,Unknown,5.0,2019-04-01
T1190081,Unknown,5.0,2019-04-01
T1190082,Unknown,5.0,2019-04-01
T1190083,Unknown,5.0,2019-04-01
E19G1002,Unknown,1.0,2019-04-01
T1190075,Unknown,5.0,2019-04-01
T1190077,Unknown,5.0,2019-04-01
T1190078,Unknown,5.0,2019-04-01
T1190079,Unknown,5.0,2019-04-01
T1190087,Unknown,5.0,2019-04-01
B0106863,USB3.0,8.0,2019-04-03
B0107375,USB3.0,700.0,2019-04-03
B0201219,USB3.0(TYPE C),300.0,2019-04-03
B0106869,其他,222.0,2019-04-03
B0301123,其他,1500.0,2019-04-03
B0106748,其他,100.0,2019-04-03
T1190121,Unknown,2.0,2019-04-03
T1190122,Unknown,1.0,2019-04-03
B0107289,USB2.0,20.0,2019-04-04
B0201189,USB2.0(TYPE C),5.0,2019-04-04
B0201147,USB2.0(TYPE C),5.0,2019-04-04
B0201190,USB2.0(TYPE C),5.0,2019-04-04
C1801103,Unknown,50.0,2019-04-04
A0107033,Unknown,800.0,2019-04-04
B0106263,GIGE,18.0,2019-04-08
B0106732,GIGE,1.0,2019-04-08
B0107170,USB3.0,199.0,2019-04-08
B0107082,USB3.0,50.0,2019-04-08
B0106445,USB3.0,1.0,2019-04-08
B0201222,USB3.0(主動線),12.0,2019-04-08
B0106944,其他,120.0,2019-04-08
B0106750,其他,50.0,2019-04-08
B0105999,其他,150.0,2019-04-08
C2001643,Unknown,3450.0,2019-04-08
A0520071,Unknown,300.0,2019-04-08
A0202668,Unknown,1000.0,2019-04-08
A0202586,Unknown,5040.0,2019-04-08
C2402088,Unknown,2000.0,2019-04-08
A0202589,Unknown,5000.0,2019-04-08
A0202677,Unknown,5000.0,2019-04-08
B0106236,Unknown,12.0,2019-04-08
B0106746,GIGE,1.0,2019-04-09
